dataset,size,trial,structure,build_s,extract_s,comparisons,n,extract_ops
skewed,10000,2,FibonacciHeap,0.009427,0.014183,46231,10000,500
skewed,10000,3,BinaryHeap,0.039299,0.000961,21044,10000,500
skewed,10000,3,BinomialHeap,0.014559,0.001171,13818,10000,500
skewed,10000,3,FibonacciHeap,0.009876,0.013005,46231,10000,500
students,2000,1,BinaryHeap,0.000855,0.000848,7368,2000,500
students,2000,1,BinomialHeap,0.003536,0.001426,4736,2000,500
students,2000,1,FibonacciHeap,0.000968,0.001066,5118,2000,500
students,2000,2,BinaryHeap,0.000654,0.000840,7368,2000,500
students,2000,2,BinomialHeap,0.002290,0.000705,4736,2000,500
students,2000,2,FibonacciHeap,0.000980,0.000988,5118,2000,500
students,2000,3,BinaryHeap,0.000633,0.000790,7368,2000,500
students,2000,3,BinomialHeap,0.003997,0.001424,4736,2000,500
students,2000,3,FibonacciHeap,0.000936,0.001159,5118,2000,500
students,5000,1,BinaryHeap,0.003940,0.003517,11090,5000,500
students,5000,1,BinomialHeap,0.007876,0.000825,7709,5000,500
students,5000,1,FibonacciHeap,0.002326,0.004817,12574,5000,500
students,5000,2,BinaryHeap,0.002150,0.001114,11090,5000,500
students,5000,2,BinomialHeap,0.006328,0.000813,7709,5000,500
students,5000,2,FibonacciHeap,0.002430,0.003833,12574,5000,500
students,5000,3,BinaryHeap,0.005865,0.000939,11090,5000,500
students,5000,3,BinomialHeap,0.006963,0.000999,7709,5000,500
students,5000,3,FibonacciHeap,0.002267,0.002343,12574,5000,500
students,10000,1,BinaryHeap,0.004406,0.001016,16602,10000,500
students,10000,1,BinomialHeap,0.015661,0.000802,13062,10000,500
students,10000,1,FibonacciHeap,0.004738,0.004755,25098,10000,500
students,10000,2,BinaryHeap,0.010416,0.001101,16602,10000,500
students,10000,2,BinomialHeap,0.013402,0.001003,13062,10000,500
students,10000,2,FibonacciHeap,0.004807,0.007843,25098,10000,500
students,10000,3,BinaryHeap,0.006861,0.001021,16602,10000,500
students,10000,3,BinomialHeap,0.014536,0.000793,13062,10000,500
students,10000,3,FibonacciHeap,0.010321,0.004862,25098,10000,500
duplicate_heavy,10000,1,AdaptiveHeap,0.001685,0.000125,0,10000,500
duplicate_heavy,10000,1,BinaryHeap,0.005772,0.001227,29160,10000,500
duplicate_heavy,10000,1,BinomialHeap,0.018064,0.003877,16631,10000,500
duplicate_heavy,10000,1,FibonacciHeap,0.005664,0.009015,28963,10000,500
